wl_home,fga_home,fg_pct_home,fg3a_home,fg3_pct_home,fta_home,ft_pct_home,oreb_home,dreb_home,stl_home,blk_home,tov_home,fga_away,fg_pct_away,fg3a_away,fg3_pct_away,fta_away,ft_pct_away,oreb_away,dreb_away,stl_away,blk_away,tov_away
W,95,0.474,41,0.39,19,0.789,12,38,8,9,11,89,0.393,29,0.379,37,0.622,16,37,1,3,14
W,89,0.483,37,0.243,22,0.773,15,26,10,8,9,79,0.456,32,0.281,21,0.905,11,27,4,6,18
W,83,0.542,40,0.375,22,0.773,11,36,6,3,19,93,0.484,31,0.323,23,0.739,10,26,11,0,11
W,78,0.564,33,0.606,19,0.737,4,31,9,7,13,89,0.416,19,0.105,27,0.852,15,30,6,0,15
W,96,0.552,43,0.395,20,0.6,12,45,7,4,12,93,0.441,34,0.382,21,0.714,8,30,7,3,12
W,89,0.517,35,0.514,24,0.667,12,27,10,2,11,81,0.543,34,0.412,20,0.85,6,30,6,6,14
W,87,0.529,40,0.55,14,0.571,9,26,5,3,9,88,0.511,28,0.357,19,0.789,14,31,4,4,11
L,83,0.494,28,0.357,24,0.708,6,30,5,0,13,81,0.593,35,0.457,19,0.842,4,34,5,6,12
L,92,0.424,29,0.276,19,0.895,8,34,9,8,10,88,0.455,36,0.306,29,0.759,13,40,5,8,18
W,80,0.525,37,0.459,21,0.762,9,35,5,2,20,82,0.451,33,0.273,36,0.75,10,26,5,0,9
L,109,0.44,29,0.345,17,0.706,17,36,6,4,13,103,0.485,24,0.333,26,0.769,17,35,7,6,9
W,82,0.476,36,0.361,24,0.708,13,36,9,6,17,80,0.438,46,0.391,17,0.706,7,24,7,3,14
L,83,0.458,38,0.368,31,0.774,8,27,10,5,16,92,0.478,27,0.296,27,0.778,16,32,8,4,17
W,84,0.464,40,0.325,39,0.872,7,39,8,9,12,105,0.448,42,0.286,20,0.75,11,36,4,0,12
L,95,0.474,27,0.259,20,0.8,15,32,12,2,9,80,0.525,39,0.487,19,0.895,6,31,5,5,14
L,76,0.526,24,0.292,23,0.783,3,24,3,6,12,92,0.522,30,0.333,18,0.944,15,30,6,3,8
W,76,0.526,18,0.556,25,0.88,10,36,5,2,15,88,0.443,29,0.276,18,0.778,11,26,9,5,10
L,89,0.551,33,0.394,28,0.714,5,33,10,4,13,98,0.531,43,0.419,31,0.613,14,36,11,3,16
W,86,0.512,35,0.371,15,0.667,9,36,12,6,20,93,0.409,33,0.242,19,0.842,15,32,14,2,21
W,85,0.459,33,0.303,26,0.846,5,32,9,3,11,69,0.478,34,0.353,32,0.844,2,38,5,3,20
